1;
2;40,49,102,7,22,43,11,51,59,81
3;10,7,11,19,103,81,82,89,23,40
4;5,30,31,39,61,78,84,16,21,28
5;30,6,17,4,101,90,59,71,74,78
6;5,30,73,90,22,101,59,71,8,74
7;49,32,19,2,81,85,107,104,102,16
8;73,74,6,43,21,60,69,30,42,101
9;36,85,7,19,97,49,75,104,64,23
10;87,88,45,3,7,51,106,2,48,101
11;19,15,32,82,46,62,12,81,59,85
12;19,11,62,40,15,32,44,46,49,33
13;56,47,53,44,61,100
14;37,66,69,79,83,105,68,44,47,60
15;11,19,68,32,82,85,40,47,49,23
17;5,30,90,6,61,25,71,74,76,78
16;72,104,74,7,59,50,39,81,102,28
19;11,46,15,49,23,103,33,12,7,62
18;92,84,31,33,80,104,107,25,26,3
21;42,61,23,27,12,47,8,100,7,4
20;32,25,46,19,23,15,75,85,12,33
23;19,85,103,46,15,102,40,43,81,82
22;94,86,2,40,102,61,6,24,76,57
25;32,75,20,54,62,46,82,107,11,78
24;86,28,74,76,22,93,72,2,31,81
27;100,39,68,94,36,47,53,21,70,76
26;65,97,36,41,58,8,9,38,74,85
29;44,19,46,49,59,28,32,62,85,75
28;59,29,71,96,74,84,30,16,39,81
31;4,2,39,59,61,51,45,24,7,10
30;5,6,59,96,4,17,90,28,61,62
34;104,71,72,16,59,19,32,74,81,82
35;7,10,3,45,88,39,31,48,87,2
32;11,81,19,20,7,46,15,107,75,25
33;103,19,43,46,64,68,15,12,44,102
38;58,9,97,65,96,26,32,36,75,89
39;94,45,78,80,90,31,43,27,28,30
36;9,97,26,65,27,7,61,39,41,42
37;66,79,69,83,105,68,14,47,91,60
42;21,12,60,61,70,8,23,83,62,69
43;68,33,23,44,2,15,19,47,49,40
40;49,2,102,51,12,44,15,19,64,23
41;26,36,9,42,8,65,37,19,11,51
46;19,32,11,85,96,33,23,49,62,81
47;68,15,69,43,100,105,33,79,80,60
44;29,40,19,82,12,43,15,33,64,68
45;10,87,88,39,7,51,106,101,31,27
51;40,2,7,88,45,49,31,87,10,101
50;74,71,16,102,28,76,93,72,59,60
49;7,19,40,2,32,102,46,15,62,81
48;10,87,45,39,31,88,106,2,12,51
55;25,59,39,46,30,32,75,76,78,81
54;52,104,25,75,32,85,77,20,70,107
53;47,27,68,101,57,39,80,89,94,100
52;104,77,54,73,85,32,107,12,15,19
59;28,81,62,19,11,29,85,30,46,2
58;38,97,26,59,6,84,90,28,31,17
57;49,40,102,64,103,22,85,23,29,2
56;13,103,57,64,66,44,25,29,33,40
63;
62;19,81,59,12,11,32,46,49,96,25
61;31,22,78,21,42,4,30,86,94,24
60;102,42,47,12,68,23,103,15,50,19
68;47,15,19,43,33,69,103,23,44,46
69;79,47,68,66,83,105,37,43,8,60
70;42,73,54,39,27,76,77,23,25,52
71;28,82,96,19,74,50,59,107,81,30
64;103,33,85,40,19,15,81,46,44,23
65;26,97,36,85,89,23,103,12,40,62
66;37,79,69,83,105,103,68,47,14,60
67;
76;74,2,73,24,50,90,22,55,59,70
77;73,52,54,32,70,40,20,104,107,75
78;62,46,61,39,25,96,32,33,4,30
79;69,37,66,47,68,91,105,83,14,78
72;16,7,104,29,74,81,84,50,24,59
73;77,6,52,86,8,70,76,22,25,30
74;50,16,104,71,28,76,8,24,6,96
75;32,25,7,107,46,54,29,20,9,23
85;23,15,7,32,46,19,9,49,59,64
84;28,92,72,81,29,89,33,62,64,4
87;88,10,45,51,101,106,48,39,31,94
86;22,73,24,102,61,62,94,6,40,17
81;32,102,59,62,19,7,107,15,46,82
80;62,39,47,2,92,102,43,12,51,52
83;69,66,37,105,42,79,47,60,12,99
82;15,19,11,44,46,81,32,25,71,12
93;28,50,24,71,74,76,30,72,4,59
92;2,59,84,18,102,107,49,52,12,62
95;32,47,68,11,15,39,70,42,22,43
94;22,39,102,61,27,2,5,43,24,74
89;32,33,44,62,19,103,12,68,81,82
88;87,10,45,51,106,101,31,39,7,2
91;79,37,83,66,69,53
90;6,30,39,17,28,59,76,5,55,33
102;81,2,40,19,49,7,23,11,22,62
103;33,19,64,23,11,15,68,96,32,49
100;27,47,68,21,78,89,61,62,42,76
101;6,5,51,81,87,88,39,102,62,10
98;
99;96,85,12,32,29,107,40,46,78,81
96;46,99,107,62,19,11,49,7,59,28
97;26,36,65,9,58,27,38,70,72,85
106;88,87,10,45,7,48,51,3,31,2
107;32,19,81,96,7,49,46,82,85,25
104;52,16,54,85,7,74,81,59,72,32
105;66,69,47,79,83,37,68,12,15,14
